codigo_apa,descricao,data_inici,latitude,longitude,morada,codigo_pos,localidade,geometry
ELE04569,REE Estamo – Participações Imobiliárias,2021-05-22,38.72488,-9.14659,"Rua de Santa Marta, n.º 55 – 6.º",1150-294,LISBOA,POINT (-9.146590000000003 38.724879999999985)
ELE04576,REE Canon - CGD Lisboa - Francisco Manuel de Melo,2021-05-22,38.72834,-9.1587,"Rua D. Francisco Manuel de Melo, 15 rc",1070-081,LISBOA,POINT (-9.15870000000001 38.72834)
ELE04590,REE Hotel Occidental Lisboa,2021-05-22,38.72801,-9.15935,"Rua de Artilharia Um, 112",1070-015,LISBOA,POINT (-9.159350000000018 38.72800999999998)
ELE04853,REE Lux Concept - Faculdade de Direito,2021-05-22,38.752344,-9.157013,Alameda da Universidade,1649-014,LISBOA,POINT (-9.157013000000006 38.752343999999994)
ELE04859,"REE Epson - Cinzento Neutro, Fotografia e Imagem Digital",2021-05-22,38.71196,-9.13871,"Rua dos Sapateiros nº 173, 5º esquerdo",1100-577,LISBOA,POINT (-9.138710000000003 38.711959999999976)
ELE04865,REE SUCH - Parque da Saúde de Lisboa,2021-05-22,38.760569,-9.14605,"Pavilhão 31C, Avenida do Brasil, 53",1749-003,LISBOA,POINT (-9.146050000000002 38.760568999999975)
ELE04893,REE Canon - CGD Lisboa - Santos,2021-05-22,38.7082241,-9.1527384,Av Dom Carlos I 60 A,1200-649,LISBOA,POINT (-9.152738399999976 38.708224099999995)
ELE04915,REE Canon - CGD Lisboa - Expo Sul,2021-05-22,38.755221494,-9.09686451778,Alameda dos Oceanos Lote 3.13.02,1990-196,LISBOA,POINT (-9.096864519999997 38.75522149)
ELE04943,REE Canon - CGD Lisboa - Rua Nova Almada,2021-05-22,38.70905,-9.13871,Rua Nova do Almada 2,1200-289,LISBOA,POINT (-9.138710000000003 38.70904999999999)
ELE04967,REE Canon - CGD Lisboa - Anjos,2021-05-22,38.72911,-9.13489,Av Almirante Reis 101,1150-013,LISBOA,POINT (-9.134889999999984 38.72910999999999)
ELE04971,REE Canon - CGD Lisboa - Rua Henrique Gomes,2021-05-22,38.77294,-9.1621,Rua Doutor Henrique Martins Gomes 22,1600-441,LISBOA,POINT (-9.16210000000001 38.772940000000006)
ELE04972,REE Canon - CGD Lisboa - Av. República,2021-05-22,38.73687,-9.14601,Av da República 31,1050-186,LISBOA,POINT (-9.14600999999999 38.73687000000001)
ELE04984,REE Canon - CGD Lisboa - Almirante Reis,2021-05-22,38.73869,-9.13386,Av Almirante Reis 227 A,1000-049,LISBOA,POINT (-9.133860000000027 38.73869000000002)
ELE04990,REE Canon - CGD Lisboa - Colombo,2021-05-22,38.754673,-9.1884836,Av Lusíada,1500-392,LISBOA,POINT (-9.188483599999984 38.754673000000025)
